ESCOLA                    | CICLO           | SEMANA       | TURMA                     | DIA      | PER | MATÉRIA
------------------------------------------------------------------------------------------------------------------
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quarta   | 1   | Informática Básica
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quarta   | 1   | Informática Básica
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quarta   | 1   | Aspectos Policiais na Defesa do Direitos Humanos e Igualdade Racial 
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quarta   | 1   | Administração Pública aplicada – Operações, Treinamento e Sala de Operações
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quarta   | 1   | Técnicas de Oratória e Ensino Policial 
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quarta   | 1   | Administração Pública aplicada – Operações, Treinamento e Sala de Operações
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quarta   | 1   | Informática Básica
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quarta   | 1   | Administração Pública aplicada -  Inteligência Policial e Análise Criminal 
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quarta   | 2   | Aspectos Policiais na Defesa do Direitos Humanos e Igualdade Racial 
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quarta   | 3   | Aspectos Policiais na Defesa do Direitos Humanos e Igualdade Racial 
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quarta   | 4   | Informática Básica
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quarta   | 4   | Técnicas de Oratória e Ensino Policial 
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quarta   | 4   | Administração Pública aplicada  - Legislação e Pessoal 
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quarta   | 4   | Informática Básica
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quarta   | 4   | Administração Pública aplicada – Logistica e Patrimônio, Projetos e captação de recursos
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quarta   | 4   | Administração Pública aplicada – Operações, Treinamento e Sala de Operações
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quarta   | 4   | Aspectos Policiais na Defesa do Direitos Humanos e Igualdade Racial 
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quarta   | 4   | Administração Pública aplicada -  Inteligência Policial e Análise Criminal 
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quarta   | 5   | Administração Pública aplicada – Operações, Treinamento e Sala de Operações
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quarta   | 6   | Administração Pública aplicada – Operações, Treinamento e Sala de Operações
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quarta   | 7   | Informática Básica
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quarta   | 7   | Informática Básica
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quarta   | 7   | Administração Pública aplicada – Logistica e Patrimônio, Projetos e captação de recursos
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quarta   | 7   | Informática Básica
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quarta   | 7   | Técnicas de Oratória e Ensino Policial 
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quarta   | 7   | Administração Pública aplicada  - Legislação e Pessoal 
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quarta   | 7   | Administração Pública aplicada  - Legislação e Pessoal 
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quarta   | 10  | Informática Básica
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quarta   | 10  | Informática Básica
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quarta   | 10  | Administração Pública aplicada – Logistica e Patrimônio, Projetos e captação de recursos
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quarta   | 10  | Técnicas de Oratória e Ensino Policial 
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quarta   | 10  | Aspectos Policiais na Defesa do Direitos Humanos e Igualdade Racial 
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quarta   | 10  | Administração Pública aplicada  - Legislação e Pessoal 
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quarta   | 10  | Administração Pública aplicada  - Legislação e Pessoal 
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quarta   | 10  | Saúde física
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quarta   | 11  | Administração Pública aplicada – Logistica e Patrimônio, Projetos e captação de recursos
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quarta   | 11  | Aspectos Policiais na Defesa do Direitos Humanos e Igualdade Racial 
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quarta   | 11  | Administração Pública aplicada  - Legislação e Pessoal 
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quarta   | 12  | Administração Pública aplicada – Logistica e Patrimônio, Projetos e captação de recursos
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quarta   | 12  | Aspectos Policiais na Defesa do Direitos Humanos e Igualdade Racial 
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quarta   | 12  | Administração Pública aplicada  - Legislação e Pessoal 
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quinta   | 1   | Informática Básica
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quinta   | 1   | Administração Pública aplicada – Operações, Treinamento e Sala de Operações
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quinta   | 1   | Administração Pública aplicada -  Inteligência Policial e Análise Criminal 
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quinta   | 1   | Informática Básica
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quinta   | 1   | Liderança – Gestão de Pessoas e Relações Interpessoais
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quinta   | 1   | Administração Pública aplicada -  Inteligência Policial e Análise Criminal 
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quinta   | 1   | Liderança – Gestão de Pessoas e Relações Interpessoais
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quinta   | 2   | Administração Pública aplicada -  Inteligência Policial e Análise Criminal 
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quinta   | 3   | Administração Pública aplicada -  Inteligência Policial e Análise Criminal 
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quinta   | 4   | Informática Básica
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quinta   | 4   | Administração Pública aplicada – Logistica e Patrimônio, Projetos e captação de recursos
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quinta   | 4   | Informática Básica
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quinta   | 4   | Técnicas de Oratória e Ensino Policial 
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quinta   | 4   | Administração Pública aplicada – Logistica e Patrimônio, Projetos e captação de recursos
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quinta   | 4   | Administração Pública aplicada  - Legislação e Pessoal 
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quinta   | 4   | Administração Pública aplicada – Logistica e Patrimônio, Projetos e captação de recursos
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quinta   | 5   | Administração Pública aplicada – Logistica e Patrimônio, Projetos e captação de recursos
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quinta   | 5   | Administração Pública aplicada – Logistica e Patrimônio, Projetos e captação de recursos
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quinta   | 6   | Administração Pública aplicada – Logistica e Patrimônio, Projetos e captação de recursos
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quinta   | 6   | Administração Pública aplicada – Logistica e Patrimônio, Projetos e captação de recursos
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quinta   | 9   | Informática Básica
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quinta   | 9   | Administração Pública aplicada -  Inteligência Policial e Análise Criminal 
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quinta   | 9   | Administração Pública aplicada – Logistica e Patrimônio, Projetos e captação de recursos
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quinta   | 9   | Informática Básica
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quinta   | 10  | Administração Pública aplicada  - Legislação e Pessoal 
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quinta   | 10  | Aspectos Policiais na Defesa do Direitos Humanos e Igualdade Racial 
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quinta   | 10  | Administração Pública aplicada – Logistica e Patrimônio, Projetos e captação de recursos
 Escola de Formação, Habi | Ciclo 01        | SEMANA 01    | 2º PELOTÃO 2026           | quinta   | 10  | Informática Básica
